service_id,date,exception_type
"454_64879","20180407","1"
"454_64879","20180409","1"
"454_64879","20180410","1"
"454_64879","20180411","1"
"454_64879","20180412","1"
"454_64879","20180413","1"
"454_64879","20180414","1"
"454_64879","20180416","1"
"454_64879","20180417","1"
"454_64879","20180418","1"
"454_64879","20180419","1"
"454_64879","20180420","1"
"454_64879","20180421","1"
"454_64879","20180423","1"
"454_64879","20180424","1"
"454_64879","20180426","1"
"454_64879","20180427","1"
"454_64879","20180428","1"
"454_64879","20180430","1"
"454_64879","20180502","1"
"454_64879","20180503","1"
"454_64879","20180504","1"
"454_64879","20180505","1"
"454_64879","20180507","1"
"454_64879","20180508","1"
"454_64879","20180509","1"
"454_64879","20180510","1"
"454_64879","20180511","1"
"454_64879","20180512","1"
"454_64879","20180514","1"
"454_64879","20180515","1"
"454_64879","20180516","1"
"454_64879","20180517","1"
"454_64879","20180518","1"
"454_64879","20180519","1"
"454_64879","20180521","1"
"454_64879","20180522","1"
"454_64879","20180523","1"
"454_64879","20180524","1"
"454_64879","20180525","1"
"454_64879","20180526","1"
"454_64879","20180528","1"
"454_64879","20180529","1"
"454_64879","20180530","1"
"454_64879","20180531","1"
"454_64879","20180601","1"
"454_64879","20180604","1"
"454_64879","20180605","1"
"454_64879","20180606","1"
"454_64879","20180607","1"
"454_64880","20170917","1"
"454_64880","20170924","1"
"454_64880","20171001","1"
"454_64880","20171008","1"
"454_64880","20171015","1"
"454_64880","20171022","1"
"454_64880","20171029","1"
"454_64880","20171101","1"
"454_64880","20171105","1"
"454_64880","20171112","1"
"454_64880","20171119","1"
"454_64880","20171126","1"
"454_64880","20171203","1"
"454_64880","20171208","1"
"454_64880","20171210","1"
"454_64880","20171217","1"
"454_64880","20171224","1"
"454_64880","20171225","1"
"454_64880","20171226","1"
"454_64880","20171231","1"
"454_64880","20180101","1"
"454_64880","20180106","1"
"454_64880","20180107","1"
"454_64880","20180114","1"
"454_64880","20180121","1"
"454_64880","20180128","1"
"454_64880","20180204","1"
"454_64880","20180211","1"
"454_64880","20180218","1"
"454_64880","20180225","1"
"454_64880","20180304","1"
"454_64880","20180311","1"
"454_64880","20180318","1"
"454_64880","20180325","1"
"454_64880","20180401","1"
"454_64880","20180402","1"
"454_64880","20180408","1"
"454_64880","20180415","1"
"454_64880","20180422","1"
"454_64880","20180425","1"
"454_64880","20180429","1"
"454_64880","20180501","1"
"454_64880","20180506","1"
"454_64880","20180513","1"
"454_64880","20180520","1"
"454_64880","20180527","1"
"454_64880","20180602","1"
"454_64880","20180603","1"
"454_64881","20170915","1"
"454_64881","20170916","1"
"454_64881","20170918","1"
"454_64881","20170919","1"
"454_64881","20170920","1"
"454_64881","20170921","1"
"454_64881","20170922","1"
"454_64881","20170923","1"
"454_64881","20170925","1"
"454_64881","20170926","1"
"454_64881","20170927","1"
"454_64881","20170928","1"
"454_64881","20170929","1"
"454_64881","20170930","1"
"454_64881","20171002","1"
"454_64881","20171003","1"
"454_64881","20171004","1"
"454_64881","20171005","1"
"454_64881","20171006","1"
"454_64881","20171007","1"
"454_64881","20171009","1"
"454_64881","20171010","1"
"454_64881","20171011","1"
"454_64881","20171012","1"
"454_64881","20171013","1"
"454_64881","20171014","1"
"454_64881","20171016","1"
