stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"10501","Chiesa Ruffio","44.1455384978275","12.3097763262901","0",""
"10502","Chiesa Ruffio","44.1458945204742","12.309936898993","0",""
"10511","Cimitero Ruffio","44.1487384027298","12.3094864544671","0",""
"10512","Cimitero Ruffio","44.1487336361102","12.3097479734787","0",""
"10521","Villa Casone","44.1513398855255","12.3110300903782","0",""
"10522","Villa Casone","44.1511986698794","12.3116114382926","0",""
"10531","Macerone","44.154125076618","12.3226668053347","0",""
"10532","Macerone","44.1540653376629","12.323404348286","0",""
"10541","Macerone Carabinieri","44.1553615149397","12.3289332233846","0",""
"10542","Macerone Carabinieri","44.1552482564616","12.3294786138151","0",""
"10551","Macerone Consorzio","44.1562956860911","12.3333430363404","0",""
"10552","Macerone Consorzio","44.1562858986076","12.3338512791336","0",""
"10561","Bagnarola Centro","44.1601811018315","12.3409381799015","0",""
"10562","Bagnarola Centro","44.1602018465279","12.3411902454687","0",""
"10571","Bagnarola Scuole","44.1623406667529","12.344452541201","0",""
"10572","Bagnarola Scuole","44.1622027233851","12.3446667268664","0",""
"10581","Bagnarola","44.1657064395657","12.3504227398297","0",""
"10582","Bagnarola","44.1656762405965","12.3506657043746","0",""
"10591","Villalta I","44.1699648897858","12.3578077067377","0",""
"10592","Villalta I","44.1704580424078","12.3589270479912","0",""
"10601","Villalta Centro","44.173350278099","12.364863369513","0",""
"10602","Villalta Centro","44.1733194869164","12.3652016903132","0",""
"10611","Mulino Di Villalta I","44.1763945224333","12.3704055243596","0",""
"10612","Mulino Di Villalta I","44.1765052836219","12.3708465408663","0",""
"10621","Palazzone-Cantalupo","44.1808327648776","12.3766330938659","0",""
"10622","Palazzone-Cantalupo","44.1806151892953","12.3766652354931","0",""
"10631","Borella","44.186085144787","12.3808766857956","0",""
"10632","Borella","44.1858847988783","12.3808018890193","0",""
"10641","Selene","44.1900944887014","12.3850036988871","0",""
"10642","Selene","44.1902307278076","12.3853235364716","0",""
"10651","Bv.Cannuceto","44.1952574896653","12.3895932343068","0",""
"10652","Bv.Cannuceto","44.1953466825407","12.3898486200679","0",""
"10661","Via Monza","44.1446380391754","12.2990948107812","0",""
"10662","Via Monza","44.1447085102799","12.2996934031938","0",""
"10671","Cecchini","44.1974088421439","12.3940519453359","0",""
"10672","Cecchini","44.1973643391711","12.3944506170512","0",""
